城市,景点,销量,票价,地址
北京,中国人民革命军事博物馆,940,13.0,北京市海淀区复兴路9号
北京,人民大会堂,1260,10.0,北京市西城区西长安街天安门广场西侧
北京,北京园博园,34,300.0,北京市丰台区射击场路15号
北京,古北水镇,1160,120.0,北京市密云区古北口镇司马台村
北京,鸟巢(国家体育场),1392,185.0,北京市朝阳区国家体育场南路1号
北京,坡峰岭,134,26.8,北京市房山区坡峰岭景区黄山店村
北京,青龙湖公园,40,28.0,北京市丰台区王佐镇怪村西约200米
北京,八达岭古长城(残长城),8,54.0,北京市延庆区216省道八达岭古长城自然风景区内
北京,梅兰芳纪念馆,6,10.0,北京市西城区护国寺大街9号
北京,红领巾公园,33,39.9,北京市朝阳区后八里庄5号
北京,静之湖度假区,10,30.0,北京市昌平区兴寿镇桃峪口村桃下路
北京,古崖居风景区,4,54.0,北京市延庆区古龙路与古崖居路交叉口西北345米
北京,十渡东湖港风景区,8,35.9,北京市房山区十大路
北京,御汤生活馆,2,69.0,北京市丰台区南宫商业街1号(云岗镇南宫市场北侧)
北京,桃源仙谷自然风景区,41,668.0,北京市密云区石城镇石城村密关路
北京,北京鹫峰国家森林公园,71,25.0,北京市海淀区苏家坨镇秀峰寺路5号
北京,定陵,746,59.9,北京市昌平区十三陵镇昌赤路十三陵内
北京,日光山谷,66,20.0,穆家峪镇阁老峪村黑大路1号
北京,湖洞水景区,38,25.0,湖洞水风景区(胡关路北)
北京,北京市劳动人民文化宫,46,188.0,北京市东城区东长安街天安门东侧
北京,紫禁城角楼,93,38.0,北京市东城区景山前街4号北京故宫博物院内
北京,古北之光温泉,65,300.0,北京市密云区古北口镇司马台村古北水镇景区内
北京,天安门广场-国旗,602,15.0,北京市东城区景山前街4号天安门广场内
北京,宰牲亭,54,88.0,北京市东城区安定门外大街2号天坛公园内
北京,万泉河洗浴,93,58.0,南二环迦南大厦A座负一层
北京,祈年殿,512,88.0,北京市东城区天坛东路甲1号天坛公园内
北京,正阳门-箭楼,40,50.0,北京市东城区前门大街2号前门商业区A2地块
北京,卢沟桥,106,7.0,北京市丰台区
北京,昆明湖,46,78.0,北京市海淀区新建宫门路19号颐和园内
北京,北京浴汀湾洗浴,58,47.0,纪百户街18号院16幢1层101-1
北京,水立方游泳馆,14,62.0,北京市朝阳区大屯北路慧忠北里三塔楼小区
北京,南宫蹦床乐园,2,49.0,北京市丰台区南宫路9号
北京,玉渡山景区,224,60.0,北京市延庆区张山营镇玉海公路1号
北京,莲花池公园,81,7.0,北京市丰台区西三环中路38号
北京,十渡孤山寨,16,49.0,北京市房山区十渡风景名胜区七渡村南
北京,南宫露营运动乐园,6,15.0,北京市丰台区南宫滨河路南宫体育公园
北京,雾灵西峰风景区,4,35.0,北京市密云区新城子镇沙滩村
北京,北京密云天门山,57,28.0,北京市密云区石城镇琉辛路柳棵峪
北京,石门山景区,6,35.0,北京市怀柔区怀北镇椴树岭村1号
北京,云龙涧风景区,96,35.0,北京市密云区溪翁庄镇北白岩村北
北京,仙栖洞,12,45.0,北京市房山区东关上村(近二渡)
北京,国家大剧院,76,36.0,北京市西城区西长安街2号
北京,雨跃童游泳俱乐部,2,42.0,文体路58号
北京,温都水城·水梦奇缘,26,69.9,北京市昌平区王府街55号
北京,八达岭野生动物世界,786,85.0,北京市延庆区京藏高速公路58号
北京,中国地质博物馆,44,15.0,北京市西城区羊肉胡同15号
北京,亮马河国际风情水岸,22,80.0,北京朝阳区麦子店街道公园16号蓝色港湾蓝港码头
北京,通州运河公园,42,75.0,北京市通州区通胡大街70号
北京,中国科学技术馆,194,30.0,北京市朝阳区北辰东路5号
北京,爨底下村,8,105.0,北京市门头沟区斋堂镇
北京,国家自然博物馆,160,138.0,北京市东城区天桥南大街126号
北京,团结湖公园,118,30.0,北京市朝阳区团结湖南里16号
北京,幽岚山·童话森林,12,50.0,新黄路桃叶谷民宿东南20米
北京,北京展览馆,4,128.0,北京市西城区西直门外大街135号
北京,太和门,2,240.0,北京市东城区景山前街4号故宫博物院内
北京,北京颐和园石舫,94,78.0,新建宫门路19号颐和园
北京,詹天佑纪念馆,4,20.0,北京市延庆区八达岭长城景区南城地面缆车对面
北京,MELAND CLUB亲子乐园(北京芳圆里ID MALL店),10,49.9,东四环中路189号L3012
北京,南宫苑营地乐园,2,19.9,北京市丰台区临泉路北京南宫旅游景区
北京,中国宋庆龄青少年科技文化交流中心,94,98.0,北京市海淀区玉渊潭南路11号
北京,尚沐水世界,60,109.0,安立路3号
北京,百望山森林公园,40,5.0,北京市海淀区黑山扈北口19号
北京,纪晓岚故居,16,10.0,北京市西城区珠市口西大街241号(陕西巷南口)
